customer_id,age,income,account_type,tenure_months,location,has_credit_card,num_products,is_active_member,churn,account_type_encoded,location_encoded,total_amount,avg_amount,transaction_count,amount_std,days_since_last_transaction,most_frequent_type,unique_merchants,total_tickets,avg_resolution_time,avg_satisfaction,income_per_product,amount_per_transaction,tickets_per_tenure,is_high_value,is_recent_customer,has_complaints
CUST_000001,52,25867,Basic,5,Urban,0,2,1,1,0,2,1874.335152872184,89.25405489867542,21,112.75712816028702,46,Purchase,5,0.0,0.0,0.0,8622.333333333334,85.19705240328109,0.0,0,1,0
CUST_000002,42,31171,Gold,62,Urban,1,2,1,0,1,2,1428.597293116744,71.42986465583719,20,62.42828326865341,4,Purchase,4,2.0,10.08353200325552,4.0,10390.333333333334,68.02844252936876,0.031746031746031744,0,0,1
CUST_000003,54,26938,Premium,17,Suburban,1,4,0,1,2,1,1447.8069654027568,62.94812893055464,23,46.042075319178764,13,Purchase,5,0.0,0.0,0.0,5387.6,60.32529022511486,0.0,0,0,0
CUST_000004,67,38376,Premium,15,Suburban,1,1,1,0,2,1,1688.6745141508884,99.33379495005227,17,106.319037608361,19,Purchase,4,0.0,0.0,0.0,19188.0,93.81525078616046,0.0,0,0,0
CUST_000005,41,66077,Premium,133,Suburban,1,2,1,0,2,1,1436.2659607540406,79.79255337522449,18,73.90276345067711,38,Purchase,5,0.0,0.0,0.0,22025.666666666668,75.59294530284424,0.0,0,0,0
CUST_000006,41,24698,Basic,11,Urban,0,3,1,0,0,2,1444.0599744437693,62.78521628016388,23,60.74870304311964,12,Purchase,4,3.0,29.171480670459744,2.6666666666666665,6174.5,60.16916560182372,0.25,0,1,1
CUST_000007,68,59898,Basic,46,Urban,1,5,0,0,0,2,1347.445293676587,84.21533085478669,16,75.76256253765604,5,Purchase,5,0.0,0.0,0.0,9983.0,79.26148786332864,0.0,0,0,0
CUST_000008,56,24567,Premium,47,Suburban,1,1,0,1,2,1,4989.718195843559,191.91223830167536,26,356.5045721911101,3,Purchase,5,0.0,0.0,0.0,12283.5,184.80437762383553,0.0,1,0,0
CUST_000009,37,23770,Basic,6,Urban,0,3,1,0,0,2,1491.7078654559205,114.74675888122465,13,151.99770231687424,6,Purchase,5,3.0,15.333421228416256,1.3333333333333333,5942.5,106.55056181828003,0.42857142857142855,0,1,1
CUST_000010,53,54682,Basic,2,Urban,1,4,1,0,0,2,1423.8057226938358,74.93714329967557,19,84.96119315159389,50,Purchase,5,0.0,0.0,0.0,10936.4,71.19028613469179,0.0,0,1,0
