customer_id,ticket_date,category,priority,resolution_time_hours,satisfaction_score
CUST_002114,2024-11-14 01:13:20.749044,Technical,Medium,45.41455531007807,5
CUST_002114,2025-08-18 01:13:20.749118,Billing,Medium,49.682629698978914,5
CUST_002114,2025-05-11 01:13:20.749150,Billing,Low,17.95462970440323,1
CUST_002114,2025-01-30 01:13:20.749178,General,Low,2.563724569392535,2
CUST_008229,2025-04-22 01:13:20.749207,General,Medium,30.73161957304032,5
CUST_003440,2024-11-26 01:13:20.749236,Complaint,Low,36.21731468749525,1
CUST_007983,2024-11-04 01:13:20.749266,Complaint,Low,1.8053059785261487,3
CUST_007983,2025-07-08 01:13:20.749292,Technical,Low,11.704524518949126,5
CUST_007983,2024-09-15 01:13:20.749318,Complaint,Low,26.44856672112831,4
CUST_004141,2025-04-15 01:13:20.749345,Technical,Medium,111.73673677178458,2
CUST_002193,2025-01-17 01:13:20.749373,Billing,Medium,35.33134503873596,5
CUST_002193,2025-04-10 01:13:20.749398,Technical,High,7.904556147162941,4
CUST_002193,2024-12-23 01:13:20.749424,Billing,Low,14.769046580184648,2
CUST_005325,2025-04-05 01:13:20.749451,General,Low,22.20155549725263,1
CUST_005325,2025-04-18 01:13:20.749477,Technical,Low,8.189793906476364,1
CUST_000539,2024-10-24 01:13:20.749505,Billing,Low,5.357957088049655,4
CUST_007366,2024-12-17 01:13:20.749533,Complaint,Medium,8.394315349193223,4
CUST_008198,2025-04-17 01:13:20.749559,Billing,Low,19.5951410558956,1
CUST_008198,2025-06-18 01:13:20.749585,Technical,Medium,66.75146009847533,4
CUST_007493,2025-06-06 01:13:20.749612,Technical,Low,4.41935512594455,2
CUST_007493,2025-04-06 01:13:20.749637,Technical,Medium,24.32415456780924,4
CUST_007493,2025-08-01 01:13:20.749663,Technical,Low,2.5719131444329344,4
CUST_001460,2025-02-28 01:13:20.749689,Complaint,Medium,18.230041533855903,5
CUST_001460,2025-03-14 01:13:20.749715,Technical,Low,6.909676961103747,5
CUST_001460,2025-05-06 01:13:20.749740,General,High,1.0930537823455209,3
